Abborrgrundet-Inkoo;188142; 3.0; 2.4;MW2013;POLYGON ((27.7020433774647 60.4487770871112, 27.7055084002909 60.4472713380439, 27.7146005866902 60.4511561456963, 27.7189352578333 60.456562736, 27.7236744815567 60.456812612382, 27.7236690554147 60.4572613304076, 27.7180467783976 60.4574739982463, 27.7136723958333 60.4527407243333, 27.7020433774647 60.4487770871112))
Ahvenanmeri (avomeri);226334; 3.5; 2.4;MW2018;POLYGON ((24.6174482951577 65.6384884010933, 24.6234596469271 65.6332929153473, 24.644440329001 65.6151656013547, 24.6494060520711 65.6108729446217, 24.6512763032866 65.6107108736443, 24.628258260572 65.6306050973473, 24.6195276271007 65.6381481360667, 24.6174482951577 65.6384884010933))
Ahveninen - Suurselkä väylä;139205; 5.0; 4.4;NN+81.25;POLYGON ((27.7150650413333 62.866251662, 27.7221185188333 62.8692795135, 27.7136751653988 62.8723348799674, 27.7095367281522 62.8738320230587, 27.7046945172641 62.8749835290187, 27.6925507406667 62.8778711783333, 27.6845000715 62.8755366351667, 27.696136136213 62.8740247021026, 27.703064042 62.8727591176667, 27.7150650413333 62.866251662))
Ahveninen - Suurselkä väylä;137367; 3.6; 3.0;NN+81.25;POLYGON ((27.7312072898117 62.8864010882239, 27.7352037041309 62.8860096653469, 27.7348117177724 62.8886718496622, 27.7307854350921 62.8899818103328, 27.7312072898117 62.8864010882239))
Ahveninen - Suurselkä väylä;137363; 3.6; 3.0;NN+81.25;POLYGON ((27.7242031098815 62.8519243345404, 27.7263512991512 62.8479423921432, 27.731875 62.8515666666667, 27.7389233215274 62.8542489933536, 27.734362938 62.8539780661667, 27.7282500826667 62.8523799086667, 27.7242031098815 62.8519243345404))
Ahveninen - Suurselkä väylä;137354; 3.6; 3.0;NN+81.25;POLYGON ((27.7360616663022 62.8743733188016, 27.7356056602298 62.8825857592438, 27.736478254347 62.8836776039767, 27.7314264847678 62.8845601982823, 27.7324220622283 62.8761957462604, 27.7326309080184 62.8754990971204, 27.7329396702911 62.8744691635914, 27.733547266 62.8724423101667, 27.733574149988 62.8704661977355, 27.7365239473461 62.8711338484615, 27.7360616663022 62.8743733188016))
Ahveninen - Suurselkä väylä;137415; 3.6; 3.0;NN+81.25;POLYGON ((27.7307854350921 62.8899818103328, 27.7348117177724 62.8886718496622, 27.7345393642812 62.8905213113446, 27.733000382188 62.8912408312617, 27.7307854350921 62.8899818103328))
Ahveninen - Suurselkä väylä;137403; 3.6; 3.0;NN+81.25;POLYGON ((27.739035088931 62.8868763662229, 27.739932825253 62.8879993251382, 27.7376516326968 62.8890660886487, 27.7366947077208 62.8878713806481, 27.739035088931 62.8868763662229))
Ahveninen - Suurselkä väylä;137398; 3.6; 3.0;NN+81.25;POLYGON ((27.736478254347 62.8836776039767, 27.7377636446688 62.8852858230273, 27.7352037041309 62.8860096653469, 27.7312072898117 62.8864010882239, 27.7314264847678 62.8845601982823, 27.736478254347 62.8836776039767))
Ahveninen - Suurselkä väylä;137389; 3.6; 3.0;NN+81.25;POLYGON ((27.740602578979 62.8926880542833, 27.7442348679872 62.8933793290767, 27.7448897173012 62.8942000358952, 27.7448361821667 62.8963589581667, 27.740602578979 62.8926880542833))
Ahveninen - Suurselkä väylä;137384; 3.6; 3.0;NN+81.25;POLYGON ((27.7396310426687 62.8914957124978, 27.7432880099086 62.8921953960305, 27.7442348679872 62.8933793290767, 27.740602578979 62.8926880542833, 27.7396310426687 62.8914957124978))
Ahveninen - Suurselkä väylä;137374; 3.6; 3.0;NN+81.25;POLYGON ((27.7376516326968 62.8890660886487, 27.739932825253 62.8879993251383, 27.7432880099086 62.8921953960306, 27.7396310426687 62.8914957124979, 27.7376516326968 62.8890660886487))
Ahveninen - Suurselkä väylä;138617; 3.6; 3.0;NN+81.25;POLYGON ((27.7389233215274 62.8542489933536, 27.7382069651667 62.8593369585, 27.737076655008 62.8672602359887, 27.7336281974253 62.8664931132257, 27.733899404 62.8601032261667, 27.7351794639496 62.8566262048829, 27.734362938 62.8539780661667, 27.7389233215274 62.8542489933536))
Ahveninen - Suurselkä väylä;138608; 5.0; 4.4;NN+81.25;POLYGON ((27.7365239473461 62.8711338484615, 27.733574149988 62.8704661977355, 27.7336281974253 62.8664931132257, 27.737076655008 62.8672602359887, 27.7365239473461 62.8711338484615))
Ahveninen - Suurselkä väylä;137372; 3.6; 3.0;NN+81.25;POLYGON ((27.7352037041309 62.8860096653469, 27.7377636446688 62.8852858230273, 27.739035088931 62.8868763662229, 27.7366947077208 62.8878713806481, 27.7352037041309 62.8860096653469))
Airisto-Nötö väylä;105879; 2.4; 1.8;NN+75.10;POLYGON ((28.3054009561277 61.1455415127926, 28.3045727398359 61.1472239800848, 28.3035206525814 61.1497753187762, 28.3029421778045 61.1511393113172, 28.3008510660274 61.1561943766359, 28.2999400115369 61.1585204611991, 28.3000409594647 61.1590777333481, 28.2996178638772 61.158849095693, 28.3006463828226 61.1561855737346, 28.3027220467635 61.1511154030528, 28.3032507591328 61.149751905533, 28.3042405453831 61.147263629846, 28.3043679877271 61.1462394216991, 28.3054009561277 61.1455415127926))
Airisto-Nötö väylä;148244; 2.4; 1.8;NN+75.10;POLYGON ((28.2907916911926 61.1321511061568, 28.291514962133 61.1327247021806, 28.2947255925393 61.1346234720754, 28.2954419561667 61.1361612088333, 28.2972167271667 61.138790024, 28.2981061863333 61.1396547575, 28.2991150961667 61.1402625501667, 28.3015715706415 61.1413069629939, 28.3054009561277 61.1455415127926, 28.3043679877271 61.1462394216991, 28.3040565061778 61.1452178343578, 28.3028959162183 61.1437835980848, 28.3006710592174 61.1415310216655, 28.2995388563333 61.1406354311667, 28.2980429303434 61.1399228158601, 28.2963675509571 61.1389067575856, 28.2946102051985 61.1354323232755, 28.2927731710343 61.134085695343, 28.2901956581667 61.1325100683333, 28.2907916911926 61.1321511061568))
Airisto-Nötö väylä;147966; 2.4; 1.8;NN+75.10;POLYGON ((28.2947245080994 61.1690980414148, 28.2925529256667 61.1708680675, 28.2890437407124 61.1732403263216, 28.2855249998299 61.1756188736597, 28.2742813533333 61.1825685295, 28.273669646321 61.1828426159959, 28.2703434110902 61.1833982642452, 28.2559187171364 61.1858067562207, 28.2429471757067 61.1928406033051, 28.2421439524833 61.1927492481575, 28.2555676927065 61.1854887118503, 28.2729556431148 61.1825350689855, 28.284791818663 61.1753431614017, 28.2916831961437 61.1706842423513, 28.2945896475704 61.1690266341306, 28.2947245080994 61.1690980414148))
Airisto-Nötö väylä;103107; 2.4; 1.8;NN+75.10;POLYGON ((28.2871841919743 61.1263912649881, 28.2885513029888 61.1278250418364, 28.2886123152796 61.1278311701054, 28.2899045556667 61.1311064678333, 28.2907916911926 61.1321511061568, 28.2901956581667 61.1325100683333, 28.2894072912342 61.1312009556236, 28.2875113757218 61.1275751796783, 28.2871841919743 61.1263912649881))
